p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,energy_storage_energy_capacity_mwh,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_vii
,19.2,59743,Non-Tier 1,Land Based Wind,Bear Creek,916,,,,,,Completed,4,18101,Pennsylvania,68704,22,2024-01-30T00:00:00.000,,POINT (-75.47157 40.602005),,,,,2006,,,,,,,,,
,22.95,526800,Non-Tier 1,Land Based Wind,Maple Ridge,916,,,,,Lewis,Completed,10,13367,NY,605820,321,2024-01-30T00:00:00.000,,POINT (-75.489145 43.78851),,,,,2006,North Country,Mohawk Valley,,,,,,,
,1.6,978,Non-Tier 1,Hydroelectric,Browns Falls*,916,,,,,St Lawrence,Completed,1,13670,NY,1125,,2024-01-30T00:00:00.000,,POINT (-75.06606 44.19779),,,,,2006,North Country,Mohawk Valley,,,,,,,
,2.49,8917,Non-Tier 1,Hydroelectric,Higley Falls*,916,,,,,St Lawrence,Completed,1,13625,NY,10255,,2024-01-30T00:00:00.000,,POINT (-74.93936 44.55287),,,,,2006,North Country,Mohawk Valley,,,,,24057,,
,2.74,3115,Non-Tier 1,Hydroelectric,Spier Falls,916,,,,,Saratoga,Completed,10,12822,NY,3582,0.8,2024-01-30T00:00:00.000,,POINT (-73.8343632 43.2417323),,,,,2006,Capital Region,Capital,,,,,24058,,
,17.55,179316,Non-Tier 1,Land Based Wind,Altona,1037,,,,,Clinton,Completed,10,12910,NY,188282,102,2024-01-30T00:00:00.000,96.9,POINT (-73.65417 44.888405),,,,,2009,North Country,North,,,,,323606,,
,14.85,182590,Non-Tier 1,Land Based Wind,Bliss,1037,,,,,Wyoming,Completed,10,14024,NY,191720,100.5,2024-01-30T00:00:00.000,95.5,POINT (-78.254915 42.57816),,,,,2008,Finger Lakes,Genesee,,,,,323608,,
,17.75,204817,Non-Tier 1,Land Based Wind,Chateaugay Wind Farm,1037,,,,,Clinton,Completed,10,12920,NY,215058,106.5,2024-01-30T00:00:00.000,101.2,POINT (-74.07652 44.925855),,,,,2009,North Country,North,,,,,,,
,14.85,172140,Non-Tier 1,Land Based Wind,Clinton Wind,1037,,,,,Clinton,Completed,10,12962,NY,180747,100.5,2024-01-30T00:00:00.000,95.5,POINT (-73.5638682 44.6941568),,,,,2008,North Country,North,,,,,,,
,19.94,21247,Non-Tier 1,Land Based Wind,Cohocton,1037,,,,,Steuben,Completed,10,14826,NY,23372,87.5,2024-01-30T00:00:00.000,8.3,POINT (-77.5002615 42.4986438),,,,,2009,Southern Tier,Central,,,,,,,
,13.86,8513,Non-Tier 1,Land Based Wind,Dutch Hill,1037,,,,,Steuben,Completed,10,14826,NY,8513,37.5,2024-01-30T00:00:00.000,4.3,POINT (-77.5002615 42.4986438),,,,,2009,Southern Tier,Central,,,,,,,
,14.85,159410,Non-Tier 1,Land Based Wind,Ellenburg,1037,,,,,Clinton,Completed,10,12923,NY,167381,81,2024-01-30T00:00:00.000,77,POINT (-73.9322061 44.9552406),,,,,2008,North Country,North,,,,,,,
,8.5,1523,Non-Tier 1,Hydroelectric,Allens Falls,1037,,,,,St Lawrence,Completed,10,13676,NY,1675,0.3,2024-01-30T00:00:00.000,0.3,POINT (-74.982955 44.67295),,,,,2008,North Country,Mohawk Valley,,,,,24042,,
,8,1161,Non-Tier 1,Hydroelectric,Browns Falls,1037,,,,,St Lawrence,Completed,10,13670,NY,1277,0.4,2024-01-30T00:00:00.000,0.4,POINT (-75.06606 44.19779),,,,,2008,North Country,Mohawk Valley,,,,,24044,,
,8.25,4410,Non-Tier 1,Hydroelectric,Colton,1037,,,,,St Lawrence,Completed,10,13625,NY,4851,0.7,2024-01-30T00:00:00.000,0.7,POINT (-74.93936 44.55287),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9,2892,Non-Tier 1,Hydroelectric,Eagle,1037,,,,,Lewis,Completed,10,13327,NY,3181,0.5,2024-01-30T00:00:00.000,0.5,POINT (-75.3877596 43.89345),,,,,2008,North Country,Mohawk Valley,,,,,10063,,
,9.97,5643,Non-Tier 1,Hydroelectric,East Norfolk,1037,,,,,St Lawrence,Completed,10,13667,NY,6207.30,0.9,2024-01-30T00:00:00.000,0.9,POINT (-74.9896725 44.8002742),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9.95,10589,Non-Tier 1,Hydroelectric,Higley Falls,1037,,,,,St Lawrence,Completed,10,13625,NY,11648,1.9,2024-01-30T00:00:00.000,1.9,POINT (-74.93936 44.55287),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9.96,6822,Non-Tier 1,Hydroelectric,Norfolk,1037,,,,,St Lawrence,Completed,10,13667,NY,7504,1.5,2024-01-30T00:00:00.000,1.5,POINT (-74.9896725 44.8002742),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9.99,4207,Non-Tier 1,Hydroelectric,Norwood,1037,,,,,St Lawrence,Completed,10,13668,NY,4628,0.5,2024-01-30T00:00:00.000,0.5,POINT (-74.996245 44.74861),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,8.75,2688,Non-Tier 1,Hydroelectric,Oswego Falls,1037,,,,,Oswego,Completed,10,13069,NY,2957,0.6,2024-01-30T00:00:00.000,0.6,POINT (-76.41174 43.325035),,,,,2008,Central New York,Central,,,,,24041,,
,9.98,3291,Non-Tier 1,Hydroelectric,Raymondville,1037,,,,,St Lawrence,Completed,10,13667,NY,3620,0.7,2024-01-30T00:00:00.000,0.7,POINT (-74.9896725 44.8002742),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,17.75,57671,Non-Tier 1,Land Based Wind,Bellmont,1037,,,,,Franklin,Cancelled,10,12969,NY,63438,21,2024-01-30T00:00:00.000,19.95,POINT (-74.1372737 44.7030763),,,,,,North Country,North,,,,,,,
,11.99,180500,Non-Tier 1,Biomass,Niagara Generating Facility*,1037,,,,,Niagara,Completed,10,14304,NY,189525,26,2024-01-30T00:00:00.000,26,POINT (-78.96109 43.090764),,,,,2008,Western New York,West,,,,,,,
,16.94,14245,Non-Tier 1,Land Based Wind,Prattsburgh Windfarm,1037,,,,,Steuben,Cancelled,10,14873,NY,15670,55.5,2024-01-30T00:00:00.000,5.55,POINT (-77.2854541 42.5262895),,,,,,Southern Tier,Central,,,,,,,
,16.5,65700,Non-Tier 1,Land Based Wind,Cohocton*,1168,,,,,Steuben,Completed,10,14826,NY,65700,,2024-01-30T00:00:00.000,26.3,POINT (-77.5002615 42.4986438),,,,,2009,Southern Tier,Central,,,,,,,
,16.5,28200,Non-Tier 1,Land Based Wind,Dutch Hill*,1168,,,,,Steuben,Completed,10,14826,NY,28200,,2024-01-30T00:00:00.000,11.3,POINT (-77.5002615 42.4986438),,,,,2009,Southern Tier,Central,,,,,323617,,
,15.25,314572,Non-Tier 1,Land Based Wind,Wethersfield,1168,,,,,Wyoming,Completed,10,14066,NY,314572,126,2024-01-30T00:00:00.000,119.7,POINT (-78.13412 42.64708),,,,,2009,Finger Lakes,Genesee,,,,,323626,,
,9.99,1399,Non-Tier 1,Hydroelectric,Effley,1168,,,,,Lewis,Completed,10,13327,NY,1399,0.3,2024-01-30T00:00:00.000,0.3,POINT (-75.3877596 43.89345),,,,,2009,North Country,Mohawk Valley,,,,,24048,,
,20,26410,Non-Tier 1,Hydroelectric,High Falls,1168,,,,,,Completed,10,J0X2L,QC,26410,14.7,2024-01-30T00:00:00.000,14,,,,,,2009,,,,,,,,,
,9.98,385,Non-Tier 1,Hydroelectric,Piercefield,1168,,,,,St Lawrence,Completed,10,12973,NY,385,0.1,2024-01-30T00:00:00.000,0.1,POINT (-74.568065 44.23241),,,,,2009,North Country,North,,,,,24042,,
,16.5,40500,Non-Tier 1,Land Based Wind,Prattsburgh,1168,,,,,Steuben,Cancelled,10,14873,NY,40500,54,2024-01-30T00:00:00.000,16.2,POINT (-77.2854541 42.5262895),,,,,,Southern Tier,Central,,,,,,,
,13.99,19292,Non-Tier 1,Hydroelectric,Sherman Island,1168,,,,,Warren,Completed,10,12804,NY,19292,4.7,2024-01-30T00:00:00.000,4.5,POINT (-73.678785 43.33471),,,,,2009,Capital Region,Capital,,,,,,,
,19.25,28500,Non-Tier 1,Biomass,AES Greenidge,1168,,,,,Yates,Completed,3,14527,NY,28500,4,2024-01-30T00:00:00.000,,POINT (-77.05514 42.660715),,,,,2009,Finger Lakes,Central,,,,,,,
,15.5,121508,Non-Tier 1,Land Based Wind,Hardscrabble,1681,,,,,Herkimer,Completed,10,13416,NY,121508,74,2024-01-30T00:00:00.000,43.7,POINT (-75.0152971 43.1886557),,,,,2011,Mohawk Valley,Mohawk Valley,,,,,,,
,9.49,21885,Non-Tier 1,Hydroelectric,School Street,1681,,,,,Albany,Completed,10,12047,NY,21885,5.2,2024-01-30T00:00:00.000,4.9,POINT (-73.7045184 42.7728676),,,,,2011,Capital Region,Capital,,,,,24059,,
,9.24,11609,Non-Tier 1,Hydroelectric,Stewarts Bridge Hydro (Upgrade),1681,,,,,Saratoga,Completed,10,12822,NY,11609,2.9,2024-01-30T00:00:00.000,2.76,POINT (-73.8343632 43.2417323),,,,,2011,Capital Region,Capital,,,,,24058,,
,13.85,5625,Non-Tier 1,Biogas - LFG,Albany 1,1851,,,,,Albany,Completed,10,12205,NY,5625,0.9,2024-01-30T00:00:00.000,0.86,POINT (-73.79864 42.694925),,,,,2011,Capital Region,Capital,,,,,323615,,
,21.5,74141,Non-Tier 1,Land Based Wind,Hardscrabble Wind Energy Project,1851,,,,,Herkimer,Completed,10,13416,NY,74141,0,2024-01-30T00:00:00.000,26.64,POINT (-75.0152971 43.1886557),,,,,2011,Mohawk Valley,Mohawk Valley,,,,,,,
,18.5,228200,Non-Tier 1,Land Based Wind,High Sheldon,1851,,,,,Wyoming,Completed,10,14145,NY,228200,112.5,2024-01-30T00:00:00.000,106.9,POINT (-78.4487301 42.7018621),,,,,2012,Finger Lakes,West,,,,,,,
,17.5,19000,Non-Tier 1,Hydroelectric,Mechanicville,1851,,,,,Saratoga,Completed,10,12118,NY,19000,4.5,2024-01-30T00:00:00.000,4.28,POINT (-73.6917352 42.9054478),,,,,2011,Capital Region,Capital,,,,,,,
,20,37430,Non-Tier 1,Land Based Wind,Steel Winds II,1851,,,,,Erie,Completed,10,14218,NY,37430,15,2024-01-30T00:00:00.000,14,POINT (-78.82654 42.820135),,,,,2012,Western New York,West,,,,,323693,,
,19.5,11677,Non-Tier 1,Hydroelectric,Stuyvesant Falls,1851,,,,,Columbia,Completed,10,12173,NY,11677,6,2024-01-30T00:00:00.000,5.7,POINT (-73.78091 42.39024),,,,,2013,Capital Region,Capital,,,,,,,
,14.62,684,Non-Tier 1,Hydroelectric,Taylorville Hydro,1851,,,,,Lewis,Completed,10,13327,NY,684,0.1,2024-01-30T00:00:00.000,0.1,POINT (-75.3877596 43.89345),,,,,2011,North Country,Mohawk Valley,,,,,24048,,
,20,474,Non-Tier 1,Hydroelectric,Wappingers Falls,1851,,,,,Dutchess,Completed,10,12590,NY,474,0.12,2024-01-30T00:00:00.000,0.11,POINT (-73.915605 41.597195),,,,,2011,Mid-Hudson,Hudson Valley,,,,,,,
,19.75,10491,Non-Tier 1,Hydroelectric,Stewarts Bridge,2226,,,,,Saratoga,Completed,10,12822,NY,10491,2.6,2024-01-30T00:00:00.000,2.49,POINT (-73.8343632 43.2417323),,,,,2013,Capital Region,Capital,,,,,24058,,
,14.95,22340,Non-Tier 1,Biogas - LFG,Albany 2,2226,,,,,Albany,Completed,10,12205,NY,22340,3.2,2024-01-30T00:00:00.000,3,POINT (-73.79864 42.694925),,,,,2012,Capital Region,Capital,,,,,323615,,
,25,1900,Non-Tier 1,Hydroelectric,Black Brook,2226,,,,,Clinton,Completed,10,12912,NY,1900,0.64,2024-01-30T00:00:00.000,0.61,POINT (-73.67739 44.444075),,,,,2011,North Country,Mohawk Valley,,,,,,,
,25,11209,Non-Tier 1,Biogas - LFG,Chautauqua LFGE,2226,,,,,Chautauqua,Completed,10,14701,NY,11209,8,2024-01-30T00:00:00.000,2.11,POINT (-79.238355 42.099115),,,,,2011,Western New York,West,,,,,323629,,
,26,19178,Non-Tier 1,Biogas - LFG,DANC,2226,,,,,Jefferson,Completed,10,13682,NY,19178,4.8,2024-01-30T00:00:00.000,4,POINT (-75.93664 43.852315),,,,,2011,North Country,Mohawk Valley,,,,,,,
,17.5,115184,Non-Tier 1,Land Based Wind,Howard,2226,,,,,Steuben,Completed,10,14823,NY,115184,51.25,2024-01-30T00:00:00.000,46.13,POINT (-77.605625 42.26788),,,,,2012,Southern Tier,Central,,,,,323690,,
,20.49,15396,Non-Tier 1,Biogas - LFG,Hyland LFGE,2226,,,,,Allegany,Completed,10,14709,NY,15396,4.8,2024-01-30T00:00:00.000,2.2,POINT (-78.022205 42.30784),,,,,2011,Western New York,Genesee,,,,,,,
