p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,25,9.6,Tier 1,Biogas - ADG,NYC Biogas,3084,,,,,Richmond,Cancelled,20,10307,NY,71902,9.6,2023-01-20T00:00:00.000,9.12,POINT (-74.24321 40.5091),,,,,,New York City,New York City,,,,,,,
,22,900,Non-Tier 1,Hydroelectric,Wave Hydro,2226,,,,,Onondaga,Cancelled,10,13027,NY,900,0.95,2023-01-20T00:00:00.000,0.33,POINT (-76.33276 43.15867),,,,,2011,Central New York,Central,,,,,,,
,16.94,14245,Non-Tier 1,Land Based Wind,Prattsburgh Windfarm,1037,,,,,Steuben,Cancelled,10,14873,NY,15670,55.5,2023-01-20T00:00:00.000,5.55,POINT (-77.28905 42.52343),,,,,,Southern Tier,Central,,,,,,,
,11.99,180500,Non-Tier 1,Biomass,Niagara Generating Facility*,1037,,,,,Niagara,Completed,10,14304,NY,189525,26,2023-01-20T00:00:00.000,26,POINT (-78.96669 43.08191),,,,,2008,Western New York,West,,,,,,,
,26,20306,Non-Tier 1,Biogas - LFG,Modern,2226,,,,,Niagara,Completed,10,14174,NY,20306,6.4,2023-01-20T00:00:00.000,,POINT (-79.04796 43.2504),,,,,2011,Western New York,West,,,,,,,
,17.75,57671,Non-Tier 1,Land Based Wind,Bellmont,1037,,,,,Franklin,Cancelled,10,12969,NY,63438,21,2023-01-20T00:00:00.000,19.95,POINT (-74.17381 44.7338),,,,,,North Country,North,,,,,,,
,29.95,8432,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - 400 Hamilton B,2554,,,,,Westchester,Cancelled,10,10601,NY,8432,1,2023-01-20T00:00:00.000,1.05,POINT (-73.76344 41.03379),,,,,,Mid-Hudson,Dunwoodie,,,,,,,
,29.95,4216,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - 400 Hamilton A,2554,,,,,Westchester,Cancelled,10,10601,NY,4216,0.5,2023-01-20T00:00:00.000,0.5,POINT (-73.76344 41.03379),,,,,,Mid-Hudson,Dunwoodie,,,,,,,
,19.25,28500,Non-Tier 1,Biomass,AES Greenidge,1168,,,,,Yates,Completed,3,14441,NY,28500,4,2023-01-20T00:00:00.000,,POINT (-76.9555 42.68081),,,,,2009,Finger Lakes,Central,,,,,,,
,,131238,Maintenance,Maintenance Biomass,Lyonsdale Biomass,RPS Maintenance,,,,,Lewis,Completed,3,13368,NY,131238,,2023-01-20T00:00:00.000,22,POINT (-75.36537 43.61971),,,,,2015,North Country,Mohawk Valley,,,,,,,
,,,Maintenance,Maintenance Biomass,Lyonsdale,RPS Maintenance,,,,,Lewis,Completed,7,13368,NY,,,2023-01-20T00:00:00.000,,POINT (-75.36537 43.61971),,,,,2008,North Country,Mohawk Valley,,,,,,,
,,128000,Maintenance,Maintenance Biomass,Boralex Chateaugay,RPS Maintenance,,"ReEnergy Chateaugay, LLC",,,Franklin,Completed,10,12920,NY,128000,,2023-01-20T00:00:00.000,21,POINT (-74.08016 44.92649),,,,,2006,North Country,North,,,,,,,
,9.5,827,Tier 1,Hydroelectric,Tannery Island - Tannery Island Hydro,3257,Existing,Ampersand Tannery Island Hydro LLC,Ampersand Energy Partners,,Jefferson,Operational,20,13619,NY,827,0.17,2023-01-20T00:00:00.000,0.16,POINT (-75.60618 43.98008),,,,,2016,North Country,Mohawk Valley,,,Upgrade,,23633,,
,25,4794,Tier 1,Hydroelectric,Swinging Bridge,3257,Existing,"Eagle Creek Hydro Power, LLC",Eagle Creek Hydro Power,,Sullivan,Operational,20,12737,NY,4794,2.18,2023-01-20T00:00:00.000,2.07,POINT (-74.80665 41.49108),SEQR,,,,2020,Mid-Hudson,Hudson Valley,,696,Upgrade,,23641,,
,27,32613,Tier 1,Solar,Sunny Knoll Solar,RESRFP17-1,New,,,,Schoharie,Cancelled,20,12157,NY,39135,19.99,2023-01-20T00:00:00.000,19.39,POINT (-74.31147 42.6644),,,,,,Mohawk Valley,Capital,,,,,,,
,18.5,7707,Tier 1,Land Based Wind,Steel Winds Wind Farm 2,RESRFP19-1,Existing,"Erie Wind, LLC",Brookfield Renewable,,Erie,Operational,20,14218,NY,9248,4.4,2023-01-20T00:00:00.000,2.57,POINT (-78.82774 42.81977),SEQR,,,,2021,Western New York,West,,,Upgrade,,323693,,
,18.5,14362,Tier 1,Land Based Wind,Steel Winds Wind Farm,RESRFP19-1,Existing,"Niagara Wind Power, LLC",Brookfield Renewable,,Erie,Operational,20,14218,NY,17234,5.84,2023-01-20T00:00:00.000,4.78,POINT (-78.82774 42.81977),SEQR,,,,2022,Western New York,West,,,Upgrade,,323596,,
,,229329,Tier 1,Land Based Wind,Roaring Brook Wind,RESRFP18-1,New,PPM Roaring Brook LLC,Avangrid Renewables,,Lewis,Operational,20,13367,NY,275194,79.73,2023-01-20T00:00:00.000,77.7,POINT (-75.49047 43.78695),SEQR,,,,2021,North Country,Mohawk Valley,66.37,546,,,323790,,
,6.4,8432,Tier 1,Fuel Cell,Regen DG Project,3257,New,Bloom Energy Corp,Bloom Energy Corp,,Westchester,Operational,20,10591,NY,8432,1.05,2023-01-20T00:00:00.000,1,POINT (-73.85865 41.08007),,,,,2018,Mid-Hudson,Dunwoodie,,,,,N/A,,
,22.5,1959,Tier 1,Hydroelectric,North Division Street Dam Hydroelectric Facility,3257,Existing,City of Auburn,City of Auburn,,Cayuga,Operational,20,13021,NY,1959,0.58,2023-01-20T00:00:00.000,0.55,POINT (-76.56591 42.92936),,,,,2018,Central New York,Mohawk Valley,,,Upgrade,,5015,,
,20,6324,Tier 1,Fuel Cell,Morgan Stanley Headquarters,3084,New,"MS Financing, LLC",Morgan Stanley,,New York,Operational,20,10036,NY,6324,0.79,2023-01-20T00:00:00.000,0.75,POINT (-73.98464 40.7591),,,,,2016,New York City,New York City,,,,,N/A,,
,17.9,20062,Tier 1,Hydroelectric,Lyons Falls Mill Redevelopment,RESRFP17-1,Existing,"Northbrook Lyons Falls, LLC",Kruger Energy,,Lewis,Cancelled,20,13368,NY,24074,3.28,2023-01-20T00:00:00.000,3.28,POINT (-75.36537 43.61971),,,,,,North Country,Mohawk Valley,,,Upgrade,,,,
,22.5,27409,Tier 1,Hydroelectric,Lyons Falls Mill Hydro,3084,,,,,Lewis,Cancelled,20,13368,NY,27409,5.51,2023-01-20T00:00:00.000,5.23,POINT (-75.36537 43.61971),,,,,,North Country,Mohawk Valley,,,,,,,
,24.5,206272,Tier 1,Land Based Wind,Jericho Rise,2985,New,"Jericho Rise Wind Farm, LLC",EDF Renewables Development,,Franklin,Operational,20,12920,NY,206272,77.7,2023-01-20T00:00:00.000,73.81,POINT (-74.08016 44.92649),,,,,2019,North Country,North,,,,,323719,,
,15,32166,Tier 1,Hydroelectric,Glen Park,3257,Existing,"Black River Hydroelectric, LLC",Cube Hydro,,Jefferson,Operational,20,13601,NY,32166,7.18,2023-01-20T00:00:00.000,6.82,POINT (-75.91428 43.97586),,,,,2016,North Country,Mohawk Valley,,,Upgrade,,23778,,
,14.55,3819,Tier 1,Hydroelectric,Fulton Unit 2,3084,New,Erie Boulevard Hydropower LP,Brookfield Renewable,,Oswego,Operational,20,13069,NY,3819,0.45,2023-01-20T00:00:00.000,0.45,POINT (-76.41527 43.32201),,,,,2018,Central New York,Central,,,,,24041,,
,15.08,6968,Tier 1,Hydroelectric,Fulton Unit 1,3257,Existing,Erie Boulevard Hydropower LP,Brookfield Renewable,,Oswego,Operational,20,13069,NY,6968,0.87,2023-01-20T00:00:00.000,0.87,POINT (-76.41527 43.32201),,,,,2018,Central New York,Central,,,Upgrade,,24041,,
,25.5,32103,Tier 1,Solar,Double Lock Solar,RESRFP17-1,New,"Double Lock Solar, LLC",Cypress Creek Renewables,,Herkimer,Cancelled,20,13339,NY,38523,19.99,2023-01-20T00:00:00.000,19.39,POINT (-74.62332 42.93068),,,,,,Mohawk Valley,Capital,,,,,,,
