Data Through Date,Eligibility,Project Name,Solicitation Name,Fixed REC Price,Index REC Strike Price,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Article 10 or 94C Case Number,Second Article 10 or 94C Case Number,Article VII,Federal Permitting Mechanism,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,Transmission Capacity (HVDC),Georeference
01/18/2024,Non-Tier 1,Bear Creek,916,19.20,,Land Based Wind,,,,,,,,,,,,,,,18101,,Pennsylvania,,Completed,2006,4,22,,59743,68704,,,POINT (-75.47157 40.602005)
01/18/2024,Non-Tier 1,Maple Ridge,916,22.95,,Land Based Wind,,,,,,,Mohawk Valley,,,,,,,,13367,Lewis,NY,North Country,Completed,2006,10,321,,526800,605820,,,POINT (-75.489145 43.78851)
01/18/2024,Non-Tier 1,Browns Falls*,916,1.60,,Hydroelectric,,,,,,,Mohawk Valley,,,,,,,,13670,St Lawrence,NY,North Country,Completed,2006,1,,,978,1125,,,POINT (-75.06606 44.19779)
01/18/2024,Non-Tier 1,Higley Falls*,916,2.49,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13625,St Lawrence,NY,North Country,Completed,2006,1,,,8917,10255,,,POINT (-74.93936 44.55287)
01/18/2024,Non-Tier 1,Spier Falls,916,2.74,,Hydroelectric,,,,,,,Capital,24058,,,,,,,12822,Saratoga,NY,Capital Region,Completed,2006,10,0.8,,3115,3582,,,POINT (-73.8343632 43.2417323)
01/18/2024,Non-Tier 1,Altona,1037,17.55,,Land Based Wind,,,,,,,North,323606,,,,,,,12910,Clinton,NY,North Country,Completed,2009,10,102,96.9,179316,188282,,,POINT (-73.65417 44.888405)
01/18/2024,Non-Tier 1,Bliss,1037,14.85,,Land Based Wind,,,,,,,Genesee,323608,,,,,,,14024,Wyoming,NY,Finger Lakes,Completed,2008,10,100.5,95.5,182590,191720,,,POINT (-78.254915 42.57816)
01/18/2024,Non-Tier 1,Chateaugay Wind Farm,1037,17.75,,Land Based Wind,,,,,,,North,,,,,,,,12920,Clinton,NY,North Country,Completed,2009,10,106.5,101.2,204817,215058,,,POINT (-74.07652 44.925855)
01/18/2024,Non-Tier 1,Clinton Wind,1037,14.85,,Land Based Wind,,,,,,,North,,,,,,,,12962,Clinton,NY,North Country,Completed,2008,10,100.5,95.5,172140,180747,,,POINT (-73.5638682 44.6941568)
01/18/2024,Non-Tier 1,Cohocton,1037,19.94,,Land Based Wind,,,,,,,Central,,,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,10,87.5,8.3,21247,23372,,,POINT (-77.5002615 42.4986438)
01/18/2024,Non-Tier 1,Dutch Hill,1037,13.86,,Land Based Wind,,,,,,,Central,,,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,10,37.5,4.3,8513,8513,,,POINT (-77.5002615 42.4986438)
01/18/2024,Non-Tier 1,Ellenburg,1037,14.85,,Land Based Wind,,,,,,,North,,,,,,,,12923,Clinton,NY,North Country,Completed,2008,10,81,77,159410,167381,,,POINT (-73.9322061 44.9552406)
01/18/2024,Non-Tier 1,Allens Falls,1037,8.50,,Hydroelectric,,,,,,,Mohawk Valley,24042,,,,,,,13676,St Lawrence,NY,North Country,Completed,2008,10,0.3,0.3,1523,1675,,,POINT (-74.982955 44.67295)
01/18/2024,Non-Tier 1,Browns Falls,1037,8.00,,Hydroelectric,,,,,,,Mohawk Valley,24044,,,,,,,13670,St Lawrence,NY,North Country,Completed,2008,10,0.4,0.4,1161,1277,,,POINT (-75.06606 44.19779)
01/18/2024,Non-Tier 1,Colton,1037,8.25,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13625,St Lawrence,NY,North Country,Completed,2008,10,0.7,0.7,4410,4851,,,POINT (-74.93936 44.55287)
01/18/2024,Non-Tier 1,Eagle,1037,9.00,,Hydroelectric,,,,,,,Mohawk Valley,10063,,,,,,,13327,Lewis,NY,North Country,Completed,2008,10,0.5,0.5,2892,3181,,,POINT (-75.3877596 43.89345)
01/18/2024,Non-Tier 1,East Norfolk,1037,9.97,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13667,St Lawrence,NY,North Country,Completed,2008,10,0.9,0.9,5643,6207.3,,,POINT (-74.9896725 44.8002742)
01/18/2024,Non-Tier 1,Higley Falls,1037,9.95,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13625,St Lawrence,NY,North Country,Completed,2008,10,1.9,1.9,10589,11648,,,POINT (-74.93936 44.55287)
01/18/2024,Non-Tier 1,Norfolk,1037,9.96,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13667,St Lawrence,NY,North Country,Completed,2008,10,1.5,1.5,6822,7504,,,POINT (-74.9896725 44.8002742)
01/18/2024,Non-Tier 1,Norwood,1037,9.99,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13668,St Lawrence,NY,North Country,Completed,2008,10,0.5,0.5,4207,4628,,,POINT (-74.996245 44.74861)
01/18/2024,Non-Tier 1,Oswego Falls,1037,8.75,,Hydroelectric,,,,,,,Central,24041,,,,,,,13069,Oswego,NY,Central New York,Completed,2008,10,0.6,0.6,2688,2957,,,POINT (-76.41174 43.325035)
01/18/2024,Non-Tier 1,Raymondville,1037,9.98,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,,,13667,St Lawrence,NY,North Country,Completed,2008,10,0.7,0.7,3291,3620,,,POINT (-74.9896725 44.8002742)
01/18/2024,Non-Tier 1,Bellmont,1037,17.75,,Land Based Wind,,,,,,,North,,,,,,,,12969,Franklin,NY,North Country,Cancelled,,10,21,19.95,57671,63438,,,POINT (-74.1372737 44.7030763)
01/18/2024,Non-Tier 1,Niagara Generating Facility*,1037,11.99,,Biomass,,,,,,,West,,,,,,,,14304,Niagara,NY,Western New York,Completed,2008,10,26,26,180500,189525,,,POINT (-78.96109 43.090764)
01/18/2024,Non-Tier 1,Prattsburgh Windfarm,1037,16.94,,Land Based Wind,,,,,,,Central,,,,,,,,14873,Steuben,NY,Southern Tier,Cancelled,,10,55.5,5.55,14245,15670,,,POINT (-77.2854541 42.5262895)
01/18/2024,Non-Tier 1,Cohocton*,1168,16.50,,Land Based Wind,,,,,,,Central,,,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,10,,26.3,65700,65700,,,POINT (-77.5002615 42.4986438)
01/18/2024,Non-Tier 1,Dutch Hill*,1168,16.50,,Land Based Wind,,,,,,,Central,323617,,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,10,,11.3,28200,28200,,,POINT (-77.5002615 42.4986438)
01/18/2024,Non-Tier 1,Wethersfield,1168,15.25,,Land Based Wind,,,,,,,Genesee,323626,,,,,,,14066,Wyoming,NY,Finger Lakes,Completed,2009,10,126,119.7,314572,314572,,,POINT (-78.13412 42.64708)
01/18/2024,Non-Tier 1,Effley,1168,9.99,,Hydroelectric,,,,,,,Mohawk Valley,24048,,,,,,,13327,Lewis,NY,North Country,Completed,2009,10,0.3,0.3,1399,1399,,,POINT (-75.3877596 43.89345)
01/18/2024,Non-Tier 1,High Falls,1168,20.00,,Hydroelectric,,,,,,,,,,,,,,,J0X2L,,QC,,Completed,2009,10,14.7,14,26410,26410,,,
01/18/2024,Non-Tier 1,Piercefield,1168,9.98,,Hydroelectric,,,,,,,North,24042,,,,,,,12973,St Lawrence,NY,North Country,Completed,2009,10,0.1,0.1,385,385,,,POINT (-74.568065 44.23241)
01/18/2024,Non-Tier 1,Prattsburgh,1168,16.50,,Land Based Wind,,,,,,,Central,,,,,,,,14873,Steuben,NY,Southern Tier,Cancelled,,10,54,16.2,40500,40500,,,POINT (-77.2854541 42.5262895)
01/18/2024,Non-Tier 1,Sherman Island,1168,13.99,,Hydroelectric,,,,,,,Capital,,,,,,,,12804,Warren,NY,Capital Region,Completed,2009,10,4.7,4.5,19292,19292,,,POINT (-73.678785 43.33471)
01/18/2024,Non-Tier 1,AES Greenidge,1168,19.25,,Biomass,,,,,,,Central,,,,,,,,14527,Yates,NY,Finger Lakes,Completed,2009,3,4,,28500,28500,,,POINT (-77.05514 42.660715)
01/18/2024,Non-Tier 1,Hardscrabble,1681,15.50,,Land Based Wind,,,,,,,Mohawk Valley,,,,,,,,13416,Herkimer,NY,Mohawk Valley,Completed,2011,10,74,43.7,121508,121508,,,POINT (-75.0152971 43.1886557)
01/18/2024,Non-Tier 1,School Street,1681,9.49,,Hydroelectric,,,,,,,Capital,24059,,,,,,,12047,Albany,NY,Capital Region,Completed,2011,10,5.2,4.9,21885,21885,,,POINT (-73.7045184 42.7728676)
01/18/2024,Non-Tier 1,Stewarts Bridge Hydro (Upgrade),1681,9.24,,Hydroelectric,,,,,,,Capital,24058,,,,,,,12822,Saratoga,NY,Capital Region,Completed,2011,10,2.9,2.76,11609,11609,,,POINT (-73.8343632 43.2417323)
01/18/2024,Non-Tier 1,Albany 1,1851,13.85,,Biogas - LFG,,,,,,,Capital,323615,,,,,,,12205,Albany,NY,Capital Region,Completed,2011,10,0.9,0.86,5625,5625,,,POINT (-73.79864 42.694925)
01/18/2024,Non-Tier 1,Hardscrabble Wind Energy Project,1851,21.50,,Land Based Wind,,,,,,,Mohawk Valley,,,,,,,,13416,Herkimer,NY,Mohawk Valley,Completed,2011,10,0,26.64,74141,74141,,,POINT (-75.0152971 43.1886557)
01/18/2024,Non-Tier 1,High Sheldon,1851,18.50,,Land Based Wind,,,,,,,West,,,,,,,,14145,Wyoming,NY,Finger Lakes,Completed,2012,10,112.5,106.9,228200,228200,,,POINT (-78.4487301 42.7018621)
01/18/2024,Non-Tier 1,Mechanicville,1851,17.50,,Hydroelectric,,,,,,,Capital,,,,,,,,12118,Saratoga,NY,Capital Region,Completed,2011,10,4.5,4.28,19000,19000,,,POINT (-73.6917352 42.9054478)
01/18/2024,Non-Tier 1,Steel Winds II,1851,20.00,,Land Based Wind,,,,,,,West,323693,,,,,,,14218,Erie,NY,Western New York,Completed,2012,10,15,14,37430,37430,,,POINT (-78.82654 42.820135)
01/18/2024,Non-Tier 1,Stuyvesant Falls,1851,19.50,,Hydroelectric,,,,,,,Capital,,,,,,,,12173,Columbia,NY,Capital Region,Completed,2013,10,6,5.7,11677,11677,,,POINT (-73.78091 42.39024)
01/18/2024,Non-Tier 1,Taylorville Hydro,1851,14.62,,Hydroelectric,,,,,,,Mohawk Valley,24048,,,,,,,13327,Lewis,NY,North Country,Completed,2011,10,0.1,0.1,684,684,,,POINT (-75.3877596 43.89345)
01/18/2024,Non-Tier 1,Wappingers Falls,1851,20.00,,Hydroelectric,,,,,,,Hudson Valley,,,,,,,,12590,Dutchess,NY,Mid-Hudson,Completed,2011,10,0.12,0.11,474,474,,,POINT (-73.915605 41.597195)
